annotator,status,is_easy,word,semantic type,meaning BTS,meaning_students
НЛ,,,дождь,metaphor,1 - атмосферные осадки в виде капель; 2 - сыплющееся множество чего-либо; 3 - украшение для ёлки,1 - атмосферные осадки в виде капель - 142; 2 - ссыплющееся множество чего-либо - 7; 3 - укращение для ёлки - 1
АЛ,ок,,кличка,metaphor,"1 - имя домашенего животного, 2 - прозвище человека","1 - животное - 39, 2 - человек - 109, 0 - другое - 2"
НЛ,,,кольцо,metaphor,"1 - круг, обруч, 2 - украшение на палец, 3 - гимнастический снаряд (только мн), 4 - нечто в форме кольца, 5 - пирожное, 6 - конечный пункт маршрута транспорта, 7 - то, что образует круг или располагается в виде замкнутой линии","1 - круг, обруч - 23, 2 - украшение на палец - 32, 3 - снряд - 0, 4 - предмет с формой кольца - 22, 5 - пирожное - 0, 6 - пункт остановки транспорта - 1, 7 - замкнутый в форме кольца - 63, 0 - другое - 5, - - не определено - 4"
НЛ,,,концерт,metaphor,1 - публичное исполнение музыки; 2 - крупное музыкальное произведение; 3 - скандал или истерика,1 - публичное выступление - 140; 2 - музыкальное произведение - 6; 3 - скандал или истерика - 3; 4 - крики кошек - 0
НЛ,,,котелок,metaphor,"1 - небольшой котел, 2 - походная утварь, 3 - голова, 4 - шляпа","1 - котел - 24, 2 - походная утварь -72, 3 - голова - 2, 4 - шляпа - 41, 0 - другое - 4, - - не определено - 7"
НЛ,,,ножка,metaphor,"1 - уменьшительно-ласкательное от нога; 2 - опора, нижняя часть (мебели, утвари); 3 - нижняя часть гриба/растения; 4 - деталь измерительного/чертежного инструмента","1 - уменьшительно-ласкательное от нога - 106; 2 - опора, нижняя часть (мебели, утвари) - 36; 3 - нижняя часть гриба/растения - 3; 4 - деталь измерительного/чертежного инструмента - 5"
НА,,,опора,metaphor,"1 - основание, подпорка, то, на чем можно что-л. укрепить; 2 - поддержка, помощь ","1 - основание, то, на чем можно что-л. укрепить - 72; 2 - поддержка, помощь - 73; 0 - другое - 4; - - не определено - 1"
АЛ,ok,,печать,metaphor,"1- пластика с узором для оттиска, сам оттиск; 2- след, отпечаток, знак чего-либо; 3 - внешний вид напечатанного в зависимости от полиграфических особенностей; 4 - изготовление рисунков, текстов в типографии, печатание; 5 - пресса; 6 - Отрасль производства, занятая изготовлением типографским способом печатной продукции; издательское и типографское дело; 7 - Спец. Изготовление изображений на киноплёнке","1- пластика с узором для оттиска, сам оттиск - 42; 2- след, отпечаток чего-либо - 12; 3 - внешний вид напечатанного - 9; 4 - изготовление рисунков, текстов в типографии - 24; 5 - пресса - 36; 6 -  издательское и типографское дело - 27"
АЛ,ок,,почерк,metaphor,1 - манера изображения букв; 2 - индивидуальная творческая манера,1 - манера изображения букв - 114; 2 - манера делать что-л. - 36
ЛЛ,ok,,пробка,metaphor,1 - наружный слой древесной коры; 2 - втулка для закрывания бутылок; 3 - скопление людей или транспорта; 4 - преграда в каком-л. проходе; 5 - вид электрического предохранителя,1 - наружный слой древесной коры - 4; 2 - втулка для закрывания бутылок - 18; 3 - скопление людей или транспорта - 117; 4 - преграда в каком-л. проходе - 10; 0 - другое - 1
ЛЛ,?,,след,metaphor,"1 - опечаток, оттиск ноги, лапы или шины на какой-л. поверхности; 2 - царапина, шрам, знак, отметина и т.п., оставшиеся после чего-л. на чём-л.; 3 - Результат, последствия чьей-л. деятельности, какого-л. события, явления, происшествия и т.п.; 4 -  Характерный отпечаток, возникший в результате чего-л.; признак, свидетельствующий о чём-л.; 5 - Небольшой, незначительный остаток, уцелевший от того, что было; 6 - (в чём) То, что осталось как результат чего-л. или как воспоминание о чём-л.; 7 - нижняя часть ступни, подошва ноги","1 - опечаток, оттиск ноги, лапы на какой-л. поверхности - 73; 2 - царапина, шрам, знак, отметина и т.п., оставшиеся после чего-л. на чём-л. - 10; 3 Результат, последствия чьей-л. деятельности, какого-л. события, явления, происшествия и т.п. - 27; 4 -  Характерный отпечаток, возникший в результате чего-л.; признак, свидетельствующий о чём-л  - 16; 5 - Небольшой, незначительный остаток, уцелевший от того, что было - 19; 0 - другое - 4"
ЛЛ,ok,,тюрьма,metaphor,"1 - место заключения или пребывание в этом месте; 2 - место, где тяжело жить, где живут в угнетении","1 - место заключения - 145; 2 - место, где тяжело жить - 4; 3 - собирательное об обитателях тюрьмы - 1"
ДУ,,1,акция,homonym,,"1 - 'ценная бумага' - 131; 2 - 'действие, предпринимаемое для достижение какой-либо цели' - 19"
ДУ,,1,байка,homonym,,"1 - 'мягкая, ворсистая хлопчатобумажная ткань' - 5; 2 - 'короткий забавный рассказ анекдотического или поучительного характера' - 141; 0 - 'другое' - 4"
АЛ,ок,,бум,homonym,"1 - Кратковременное повышение спроса на какие-л. товары, акции и т.п., сопровождающееся подъёмом производства, торговли, деловой активности; 2 - Гимнастический снаряд - толстый брус с плоской поверхностью, укреплённый горизонтально на стойках; 3 - Разг. Чрезмерное оживление, волнение, шумиха вокруг кого-, чего-л. ","1 - 'употр. для обозначения сильного короткого звука при ударе' - 35; 2 - 'rратковременное повышение спроса на какие-л. товары, акции и т.п.' - 108; 3 - 'гимнастический снаряд' - 0; 0 - 'другое' -  7"
АЛ,ok,,бычок,homonym,"1 - 'уменьшительно-ласкательное к бык, молодой бык; 2 - Небольшая морская рыба отряда окунеобразных; 3 - 'окурок; 4 - Семейство морских рыб этого отряда; 5 - Мясо таких рыб","1 - 'уменьшительно-ласкательное к бык, молодой бык' - 83; 2 - 'род мелкой рыбы' - 16; 3 - 'окурок' - 22; 0 - 'другое' - 17; - - 'не определено' - 12"
ДУ,,1,гвоздика,homonym,,"1 - 'дикорастущее и садовое растение' - 98; 2 - 'высушенные цветочные бутоны гвоздичного дерева, употребляемые как пряность' - 46; 0 - 'другое' - 8"
ДУ,,1,гипербола,homonym,,"1 - 'стилистический приём - чрезмерное преувеличение каких-л. свойств изображаемого' - 143; 2 - 'незамкнутая кривая из двух ветвей, получаемая при пересечении конуса плоскостью' - 6; - - 'не определено' - 1"
ДУ,,1,град,homonym,,1 - 'атмосферные осадки в виде льдинок' - 34; 2 - 'обилие чего-либо' - 23; 3 - 'город' - 89; 0 - 'другое' - 4
ДУ,,1,гусеница,metaphor,,1 - 'личина бабочки' - 79; 2 - 'замкнутая сплошная лента в виде цепи для самоходных машин' - 71; 0 - 'другое' - 4
ДУ,,1,домино,homonym,,1 - 'маскарадный костюм' - 18; 2 - 'настольная игра' - 115; 0 - 'другое' - 11; - - 'не определено' - 6
ДУ,,1,кабачок,homonym,,1 - небольшой ресторан - 90; 2 - овощ - 49; 3 - огородное растение - 9; - - не определено - 2
ДУ,,1,капот,homonym,,1 - откидная крышка у механизмов - 124; 2 - женское платье-халат - 24; 3 - военная шинель - 2
ДУ,,1,карьер,homonym,,1 - ускоренный галоп - 39; 2 - место разработки полезных ископаемых - 78; 0 - другое - 33
ДУ,,1,кок,homonym,,1 - взбитая/завитая прядь надо лбом - 18; 2 - повар на судне - 28; 0 - другое - 101; - - не определено - 3
ДУ,,1,крона,homonym,,1 - верхняя часть дерева - 79; 2 - денежная единица - 57; 0 - другое - 13
ДУ,,1,круп,homonym,,1 - задняя часть корпуса лошади - 72; 2 - воспаление гортани - 16; 0 - другое - 62
АЛ,ok,,лейка,homonym,1 - Сосуд для поливки растений в виде ведра с трубкой; 2 - узкопленочный фотоаппарат; 3 - Нар.-разг. =Воронка ,1 - сосуд для поливки растений - 90; 2 - узкопленочный фотоаппарат - 27; 0 - другое - 32
КЛ,wip,,лук,homonym,1 - растение; 2 - ручное оружие; 3 - Съедобные трубчатые листья или луковицы этого растения,1 - растение - 100; 2 - ручное оружие - 19; 3 - мужское имя - 19; 0 - другое - 12
ДУ,,1,мандарин,homonym,,1 - цитрус - 111; 2 - гос. чиновник в феодальном Китае - 26; 0 - другое - 6; - - не определено - 7
