,,,
,,,
1,"залито кровью. Кроме семьи, налетчик расправился и со сторожевой собакой - дворняга по",кличке,"Пират разделил горькую участь хозяев. Из живых существ, обитавших на злосчастной даче,"
1,. История болезни. Лабораторная собака приблизительно двух лет от роду. Самец. Порода дворняжка.,Кличка,"-- Шарик. Шерсть жидкая, кустами, буроватая, с подпалинами. Хвост цвета топлёного молока. На"
1,его именем назвали какого-то Россинанта и владелец последнего должен был изменить лошади,кличку,.
1,"том месте, где 21-летняя фотомодель жестоко заколола ножом бездомную собаку по",кличке,"Мальчик, опекаемую метрополитеновцами. Резонанс тогда был огромный, и целая группа звезд - Елена"
1,благодарностью рассказывает женщина. - На работу я всегда ходила с немецкой овчаркой по,кличке,"Эйлин. Иду как-то домой - на дворе март, слякотно. И вдруг проваливаюсь в"
1,"знаменитом американском океанариуме ""Морской Мир"" (SeaWorld) штата Флорида - 30-летний дельфин по",кличке,"Шарки (Sharky) погиб во время представления, столкнувшись с другим дельфином, сообщает во"
1,"одобряет все, что она сделала. Собака Роуфа -- это был крупный пес по",кличке,Волк неизвестной Софичке породы -- вскоре стала ходить на могилу своего хозяина и
1,"отпирает, и овцы слушают его голоса. И он каждую овцу зовет по",кличке,"и выпускает их в поле. И когда выпустит отсаженных овец, передом сам"
1,одна внучка. Дома держит аквариум с золотыми рыбками и русского спаниеля по,кличке,Чук. P. S. Программу Михаила Леонтьева «Другое время» теперь смотрите на ОРТ
1,"подвох: дотошные журналисты выяснили, что это была не индейка, а индюк по",кличке,"Джерри, и в амнистии он в отличие от остальных не нуждался, поскольку"
1,". Медленно, смакуя, он записывает в них цифры удоев и жирности, номера и",клички,"животных, промеры, сведения о породе и генерации и тому подобные вещи. Приезжают"
1,"основной маршрут. Единственной всадницей оказалась немка Хелена Вайнберг, которой на лошади по",кличке,Джессика не удалось вмешаться в борьбу за титул и призовые места. Одному
1,", Лена и другие), но больным зверям по общему чуть суеверному согласию никаких",кличек,не дают. О дальнейшей судьбе животного много не говорят. Состояние тигрицы пока
1,половине седьмого вечера. - Настя гуляла во дворе дома с йоркширским терьером по,кличке,"Мася, и вдруг увидела, что к ним устремился незнакомый агрессивный пес, - рассказала «"
1,и тотчас же вспомнил другого попутчика: -- Ты будешь Китоврас… Никакая не конская,кличка,!
