,,,
,,,
1,-- Идём к шкилету. К трактирному крыльцу подкатило несколько саней.,Полозья,"скользили по белоснежью, мимо потухших окон спящего городка. Потом откинутые полога саней,"
1,"мужичок с принципами. -- Это сани? -- Пока орех, но, кажется, пойдет на",полозья,". -- В две недели будут с дышлом? Старик посмотрел на него, удивляясь, когда"
1,лежневая дорога вела к поселку. Он встретил нас гудением движка и скрипом,полозьев,". Обдал сквозняком пустынных улиц. Собак здесь попадалось больше, чем людей. Путь наш"
1,"медали во всех видах программы, потому что установили нагревательные элементы в свои",полозья,. Они плавили лед и уменьшали силу трения. В Нагано выступали в запрещенной
1,и государства. Власть и мороз. Тысячелетний возраст государства. Теория скрипит на морозе,полозьями,"извозчичьих санок. Холодно тебе, Византия? Зябнет и злится писатель-разночинец в не"
1,"то же время с замирающим сердцем слышу, что позади меня глухо шуршат",полозья,", земля четко звучит от лошадиного топота, ямщик весело покрикивает, и уж в"
1,"вожжей , догоняет наши сани , и мы хохочем . У Филиппа зацепился кнут за",полоз,"саней ; он , оборачиваясь , говорит :"" Эх-ма "",-- и мы помираем со смеху ."
1,"-о-о!.. Чмокнет дядя Зуй губами, кричит, а лошадь ни с места --",полозья,"к земле крепко примерзли. Пришлось по ним топориком постукать -- сани тронулись, а"
1,"дубовыми лесами Ядринского, Курмышского и Васильсурского уездов, шли клепки для бочек, ободья,",полозья,", колесные спицы и пр. С верховьев Суры поступали березовые кругляши для колесных"
1,"а также штраф за такой недобор. ** Подорожник -- пирожок, закуска, взятые в дорогу.",Полозья,"визгливо скрипели по снегу, бубенчики звенели, кучер пронзительно посвистывал -- все это вместе"
1,"глядя куда-то в темноту. Спустя минуту стал слышен нестройный, пугливый топот, шум",полозьев,"и хрусткий, наглый мат здорового, крепкого мужика, погоняющего лошадь. -- Это Хомут... --"
1,", прямо с постели, нужно было собираться в дорогу. Когда за стеною заскрипели",полозья,"и около самого окна прошли по высоким сугробам лошади, запряженные гусем, жена,"
1,"сиденье бесенок Тойво в красном вязаном колпачке, концы белого башлычка развеваются, на",полозьях,"смеющаяся Таня, Сестричка Сумасбродова, Луиза Фитюлькина, кричащая ямщицкое: «Пади! пади!»). Золотые волосы"
1,"их уже не видел. Последние нарты просвистели под обрывом, и река, исполосованная",полозьями,", опустела. Вьюга застилала следы свежим снегом, мутила воздух. Но, оглядываясь, вогулы долго"
1,"страсть к отчаянным поступкам, съезжая на бешеной скорости в деревянном ящике на",полозьях,", превращавшемся на финише в кучку щепок. Позже, став общепризнанным плейбоем, он носился"
1,лежневая дорога вела к поселку. Он встретил нас гудением движка и скрипом,полозьев,". Обдал сквозняком пустынных улиц. Собак здесь попадалось больше, чем людей. Путь наш"
1,"тем с закатом солнца страшно свирепел; лошади, сплошь покрытые инеем, бежали быстро;",полозья,"скрипели, как будто бы ехали по льду. Кучера, а в том числе"
1,"что можно нарисовать! Но Суриков, который без натуры не писал ни санного",полоза,", ни страннического посоха, ни пищали, ни пороховницы,-- он мог нам оставить только"
1,"сиденье. Он должен закрепляться с нижней стороны и не содержать элементов, мешающих",полозьям,"скользить. Если матрас покрывает всю поверхность сиденья, то вашему чаду ничего не"
1,третьего -- из четырех -- заездов в «одиночке» меня и вовсе дисквалифицировали за перегрев,полозьев,". Расстроился, конечно, и в «двойке» откатал слабо. Финишировал в конце первой десятки. -"
1,"в темноту. Скинь шапку, гражданин! Провозят ленинградца, погибшего на боевом посту. Скрипят",полозья,"в городе, скрипят… Как многих нам уже недосчитаться! Но мы не плачем:"
1,"вызолочена солнцем, гремит каплями, а другая половина, голубая, морозная, в тени. Визжат",полозья,", конь дымится паром. Подъезжают к Вику -- одна упряжка, другая, третья и вот"
1,и дело я погружался в какое-то забытье. По временам скрип снега под,полозьями,"будил меня, я оглядывался на едущих по бокам отца и Ивана Потаповича,"
1,"банями, и амбарами. Мы катались на салазках по этой дороге, льдисто накатанной",полозьями,", и лихо, с ветром в ушах проносились мимо избы Крашенинников, мимо голубых"
1,"зимой, и глухо. Несутся санки, а не слышно. Только в мороз, визжат",полозья,". Зато весной, услышишь первые колеса... -- вот радость!.. Наше Рождество подходит издалека, тихо"
1,"приступку крыльца, Фирсов слушал звяканье ведер, плеск сливаемой где-то воды, визг отъезжающих",полозьев,и затем полную сонной одури тишину. Ничто не мешало ему следить за
1,"глазами на место около себя. Дверцы захлопнулись, и карета, скрипя по снегу",полозьями,", бойко полетела вдоль по Нагорной улице; Привалов почувствовал, как к нему безмолвно"
1,"параликом зашибленная. Жилу нужную перерезала, вот шею-то кособочит. Он помолчал. Скрипели",полозья,", кромсая снег; щелкал подковами, засекаясь, Григорьев конь."
1,"поле, покрытое клочьями зимних одежд. По черным проталинам хлопотливо прыгали грачи. Под",полозьями,"всхлипывала вода, грязный снег вылетал из-под ног лошадей... -- Ну и глуп же"
1,"вроде шинели. Прямо передо мной спина -- широкая, в тулупе... Куда-то везут... Скрипят",полозья,. Приятно укачивает... Засыпаю... Просыпаюсь... Все та же спина... Чья же это спина?
1,замигали на небе. Крепчал мороз. С хрустом и скрипом оседал снег под,полозьями,"; казалось, скрипела и самая повозка, точно сафьяновый кошель. Осколок луны, белевший недавно"
1,", бревнами, камнями, мёрзлой землёй. Два десятка самых сильных воинов-пермяков шли между",полозьями,"под санями и налегали на брусья-упоры, толкая сани вперёд. А самым"
1,"трудовое население, мы беспощадно караем. Тишину мартовского степного полдня, нарушаемую лишь свистом",полозьев,"да чавкающим перебором конских копыт, обвальным раскатом задавил гул орудия. За первым"
1,"арочными устоями, нагромождено всякого хламу: тут и бочки, и кучи досок, и",полозья,", и колеса, и ящики какие-то, и чего-чего только нету! Верхний же"
